global_key,source,job_id,job_url,title,company,company_link,location,country,posted_date,num_applicants,work_mode,employment_type,position,type,compensation,commitment,skills,category_primary,domain_l1,domain_l2,domain_l3,tax_confidence,scraped_at,master_built_at
https://www.jobsnepal.com/external-facilitator-for-renewed-fia-nepal-141370,jobsnepal,141370,https://www.jobsnepal.com/external-facilitator-for-renewed-fia-nepal-141370,External Facilitator for Renewed FIA Nepal,Fight Inequality Alliance,https://www.jobsnepal.com/employer/fight-inequality-alliance/477329,Kathmandu,Nepal,2026-02-20,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:57.848341,2026-02-25T18:01:32
https://www.jobsnepal.com/driver-141371,jobsnepal,141371,https://www.jobsnepal.com/driver-141371,Driver,Swisscontact Swiss Foundation for Technical Cooperation,https://www.jobsnepal.com/employer/swisscontact-swiss-foundation-for-technical-cooperation/10168,Kathmandu,Nepal,2026-02-20,,,Full Time,,Full Time,,,"At least School Leaving Certificate. Minimum of three years’ work experience in a similar position, preferably with donors and INGOs. To Apply: Please visit our website https://www.swisscontact.org/en/countries/nepal/jobs for a detailed job description and submit a job application form Driver through an online portal. The deadline for submission of the application is March 5, 2026. Swisscontact will not entertain any phone enquiries or other such solicitations for these positions. Only shortlisted candidates will be contacted for the selection process. Swisscontact reserves the right to reject any and all applications. Swisscontact is an equal opportunity employer. Women and applicants from disadvantaged groups are encouraged to apply. Save to favorite Refer to a friend",Non-IT,HR,General,Other,0.42,2026-02-25 11:48:56.617995,2026-02-25T18:01:32
https://www.jobsnepal.com/call-for-proposals-implementing-partner-for-inclusive-community-development-project-icdp-141372,jobsnepal,141372,https://www.jobsnepal.com/call-for-proposals-implementing-partner-for-inclusive-community-development-project-icdp-141372,Call for Proposals: Implementing Partner for Inclusive Community Development Project (ICDP),Miral Welfare Foundation,https://www.jobsnepal.com/employer/miral-welfare-foundation/477314,,Nepal,2026-02-20,,,,,,,,NGO/INGO/Social work,Non-IT,Non-IT-Other,Other,Other,0.35,2026-02-25 11:48:55.658375,2026-02-25T18:01:32
https://www.jobsnepal.com/notice-for-invitation-of-expression-of-interest-eoi-141373,jobsnepal,141373,https://www.jobsnepal.com/notice-for-invitation-of-expression-of-interest-eoi-141373,NOTICE FOR INVITATION OF EXPRESSION OF INTEREST (EOI),Bagmati Welfare Society Nepal(BWSN),https://www.jobsnepal.com/employer/bagmati-welfare-society-nepalbwsn/7893,Sarlahi,Nepal,2026-02-20,,,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Backend,Node,Express,0.56,2026-02-25 11:48:54.329334,2026-02-25T18:01:32
https://www.jobsnepal.com/terms-of-reference-for-research-consultant-141374,jobsnepal,141374,https://www.jobsnepal.com/terms-of-reference-for-research-consultant-141374,Terms of Reference for Research Consultant,KOSHISH,https://www.jobsnepal.com/employer/koshish/411460,Lalitpur,Nepal,2026-02-22,,,Contract,,Contract,,,"Development Project, Research, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:53.353458,2026-02-25T18:01:32
https://www.jobsnepal.com/various-positions-141375,jobsnepal,141375,https://www.jobsnepal.com/various-positions-141375,Various Positions,The Story Kitchen,https://www.jobsnepal.com/employer/the-story-kitchen/8724,Lalitpur,Nepal,2026-02-22,,,Contract,,Contract,,,"Please check vacancy details, Development Project, Finance & Administration, Development studies, Management, NGO/INGO/Social work, Mass Communication/Journalism",Non-IT,Operations,Admin,Other,0.54,2026-02-25 11:48:51.959196,2026-02-25T18:01:32
https://www.jobsnepal.com/invitation-for-bids-141376,jobsnepal,141376,https://www.jobsnepal.com/invitation-for-bids-141376,INVITATION FOR BIDS,Tukee Foundation,https://www.jobsnepal.com/employer/tukee-foundation/391977,Kathmandu,Nepal,2026-02-22,,Remote,Contract,,Contract,,,"Development Project, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:50.496133,2026-02-25T18:01:32
https://www.jobsnepal.com/receptionist-front-desk-officer-dental-hygienist-141377,jobsnepal,141377,https://www.jobsnepal.com/receptionist-front-desk-officer-dental-hygienist-141377,Receptionist/ front desk officer/ dental hygienist,Smile Station Dental clinic,https://www.jobsnepal.com/employer/smile-station-dental-clinic/417928,Kathmandu,Nepal,2026-02-22,,,Full Time,"Mid Level, Junior Level",Full Time,As per organization rules - 19000 to 25000 / Month,,"Advanced degree in relevant discipline, 10+2 in management, 10+2 in Business Management, Health Medicine",Non-IT,Hospitality,Other,Other,0.54,2026-02-25 11:48:49.471664,2026-02-25T18:01:32
https://www.jobsnepal.com/annual-procurement-notice-141378,jobsnepal,141378,https://www.jobsnepal.com/annual-procurement-notice-141378,Annual Procurement Notice,Public Awareness Campaign Nepal ( PAC Nepal),https://www.jobsnepal.com/employer/public-awareness-campaign-nepal-pac-nepal/409858,,Nepal,2026-02-22,,,,,,,,,Non-IT,Operations,Procurement,Other,0.42,2026-02-25 11:48:48.421780,2026-02-25T18:01:32
https://www.jobsnepal.com/narajavana-bma-samabnathha-parasatava-aahavanaka-sacana-141379,jobsnepal,141379,https://www.jobsnepal.com/narajavana-bma-samabnathha-parasatava-aahavanaka-sacana-141379,निर्जीवन बीमा सम्बन्धी प्रस्ताव आह्वानको सूचना,Suncity apartment welfare society,https://www.jobsnepal.com/employer/suncity-apartment-welfare-society/457771,Kathmandu,Nepal,2026-02-23,,,Contract,,Contract,,,"Insurance, Expression of Interests, Tender Notice, Bid",Non-IT,Legal,Other,Other,0.42,2026-02-25 11:48:47.121672,2026-02-25T18:01:32
https://www.jobsnepal.com/project-coordinator-141380,jobsnepal,141380,https://www.jobsnepal.com/project-coordinator-141380,Project Coordinator,FOCUS Nepal,https://www.jobsnepal.com/employer/focus-nepal/8225,Dhading,Nepal,2026-02-23,,,Contract,,Contract,,,"Please check vacancy details, Public Health, Social Science, Development Project, Nutrition",Non-IT,Healthcare,General,Other,0.42,2026-02-25 11:48:46.195018,2026-02-25T18:01:32
